id,Week1Int,Week1Diff,Week2Int,Week2Difficult,Week3Interest,Week3Difficulty,Week4Int,Week4Diff,Week5Int,Week5Diff,Week6Int,Week6Diff,Week7Int,Week7Diff,Week8Int,Week8Diff,Week9Int,Week9Diff,Week10Int,Week10Diff,Week11Int,Week11Diff,Final Choice
10034216,10,1,6.666666667,4.666666667,7,5,7,3.666666667,7,5,6.666666667,7.333333333,5,5,8.333333333,3,8,4,7,5.5,7,4.5,SNA-NLP
10031216,7,2.5,5,5.666666667,5,5,3.333333333,5.333333333,9,5,3,3.333333333,1,1,3.666666667,2,5.5,6,3.5,3.5,4,3.5,Confused
10029216,7.5,2.5,6,2.666666667,3,3,4.333333333,4.333333333,4,6,3.333333333,6,0,0,5.666666667,3.666666667,4,4,6,4,0,0,Confused
10028216,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,Prediction
10027216,7.5,2,5.333333333,4,6,4,6.333333333,3,5,3,6,3.666666667,6.5,4,6.666666667,3.666666667,6.5,4,4,5,3.5,4,Confused
10025216,8.5,1,8,0,8,0,7.333333333,1,8,0,6.666666667,10,10,0,8.666666667,0,6,5,7.5,5,8.5,0,Confused
10023216,6,4.5,5.333333333,5,3,3,3.666666667,2.333333333,2,3,3.666666667,3.333333333,0,0,6.333333333,2.333333333,4,4.5,5.5,4.5,6,2.5,Prediction
10021216,5,1,5,4,7,4,6,4.333333333,5,5,6.666666667,5.333333333,4,6.5,5.666666667,3.666666667,4,6.5,2.5,6,3,7.5,Prediction
10020216,8,0,2.666666667,1.333333333,5,2,5.333333333,3.666666667,0,0,5.333333333,3.666666667,3,5,6.666666667,2.333333333,1.5,9,4,6.5,5.5,6.5,SNA
10019216,3,3.5,3.666666667,3,3,4,3,3.333333333,0,0,7.333333333,5.333333333,0,0,4.333333333,2.666666667,4.5,3,2,3,5.5,6,SNA
10018216,8.5,1,6.666666667,2,8,7,6.666666667,3.333333333,0,0,7.666666667,3.333333333,0,0,6.333333333,1.666666667,4,5.5,1.5,6.5,5.5,1,Prediction
10017216,7.5,0,3.666666667,5.333333333,4,6,5,6,3,7,4.333333333,5.333333333,0,0,6.333333333,4.666666667,3.5,7.5,5.5,5.5,4,4.5,Confused
10015216,7,4.5,6.333333333,4.333333333,9,3,7.666666667,3,8,3,8,2.666666667,7,4,6.666666667,3.333333333,5.5,6,4.5,7,8,4.5,Prediction
10014216,0,0,7.333333333,1,0,0,4.666666667,2.666666667,0,0,6,6,0,0,7,3,0,0,5,5,0,0,Confused
10013216,8,2.5,6.333333333,4,3,5,8.333333333,0,5,6,6.333333333,2.333333333,7.5,4.5,8,7.666666667,8.5,8,7,4.5,5,5,NLP
10011216,4.5,2.5,7,3,9,2,8,0.666666667,7,1,7,0.666666667,5,0,7,2.333333333,7,1,2,5,5.5,2.5,Prediction-NLP
10009216,6.5,2,8,2,8,2,1.666666667,0.666666667,7,9,3,2.333333333,2.5,0,6.333333333,4.333333333,5,6.5,3.5,1.5,5.5,4,Prediction
10007216,7.5,0,6.666666667,1,10,2,6.333333333,4.333333333,0,0,7.333333333,5,0,0,6.666666667,5.333333333,5,7,0,0,10,5.5,SNA
10006216,5.5,5,6,1.333333333,5,5,4,1.666666667,0,0,5,5,5,2.5,7,3.333333333,6.5,5.5,3.5,7.5,0,0,Prediction-NLP
10005216,7.5,3,6.666666667,2.666666667,6,3,7.666666667,5.333333333,5,9,6,5.333333333,6.5,5,6.666666667,2.666666667,6.5,6.5,5,7.5,6.5,7.5,Prediction
10004216,6,0,6.666666667,2,9,2,4,5,5,6,6.333333333,4.333333333,4,3,5.333333333,3.333333333,4.5,6.5,5,7.5,0,0,Prediction
10002216,7,4.5,4.666666667,4.333333333,7,7,2.666666667,3.333333333,0,0,4.333333333,5.333333333,4.5,5,5.666666667,3.333333333,4,7,6.5,4,4.5,5,SNA
