Interest,Difficulty
5.242424242,1.757575758
5.727272727,1.818181818
4.090909091,3.121212121
4.090909091,3.121212121
6,1.151515152
4.242424242,2.575757576
5.03030303,1.454545455
3.818181818,2.181818182
3.393939394,4.090909091
3.181818182,2.848484848
4.484848485,4.484848485
4.424242424,3
4.787878788,2.878787879
3.242424242,2.272727273
2.787878788,1.96969697
5.96969697,1.96969697
5.242424242,1.878787879
4.060606061,3.848484848
4.515151515,3.212121212
3.03030303,4.909090909
3.242424242,3.666666667
2.96969697,3.666666667
3.484848485,2.727272727
3.363636364,2.393939394
